Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622720815.986901,172.10.0.2:57708,2,134,72,63
1622720816.011137,172.10.0.2:57708,2,134,72,63
1622720816.029631,172.10.0.2:57708,2,134,72,63
1622720816.050296,172.10.0.2:57708,2,134,72,63
1622720816.069210,172.10.0.2:57708,3,135,70,63
1622720816.088863,172.10.0.2:57708,3,135,70,63
1622720816.107661,172.10.0.2:57708,3,135,70,63
1622720816.126354,172.10.0.2:57708,3,135,69,63
1622720816.144013,172.10.0.2:57708,3,135,69,63
1622720816.161659,172.10.0.2:57708,3,135,69,63
1622720816.179140,172.10.0.2:57708,3,135,68,63
1622720816.196556,172.10.0.2:57708,3,135,68,63
1622720816.214470,172.10.0.2:57708,3,135,68,63
1622720816.231979,172.10.0.2:57708,3,135,67,63
1622720816.249695,172.10.0.2:57708,3,135,67,63
1622720816.268333,172.10.0.2:57708,3,135,63,63
1622720816.286460,172.10.0.2:57708,5,137,63,63
1622720816.303837,172.10.0.2:57708,5,137,63,63
1622720816.321933,172.10.0.2:57708,5,137,63,63
1622720816.339932,172.10.0.2:57708,5,137,63,63
1622720816.357976,172.10.0.2:57708,5,137,63,63
1622720816.375563,172.10.0.2:57708,5,137,63,63
1622720816.393142,172.10.0.2:57708,5,137,63,63
1622720816.410608,172.10.0.2:57708,7,139,61,63
1622720816.428718,172.10.0.2:57708,7,139,61,63
1622720816.446773,172.10.0.2:57708,7,139,61,63
1622720816.464657,172.10.0.2:57708,7,139,61,63
1622720816.483061,172.10.0.2:57708,9,141,59,63
1622720816.500873,172.10.0.2:57708,9,141,59,63
1622720816.518294,172.10.0.2:57708,9,141,59,63
1622720816.536003,172.10.0.2:57708,9,141,59,63
1622720816.553792,172.10.0.2:57708,9,141,59,63
1622720816.571215,172.10.0.2:57708,9,141,59,63
1622720816.589408,172.10.0.2:57708,9,141,59,63
1622720816.606872,172.10.0.2:57708,7,141,63,63
1622720816.624204,172.10.0.2:57708,7,141,63,63
1622720816.642371,172.10.0.2:57708,7,141,63,63
1622720816.660430,172.10.0.2:57708,7,141,63,63
1622720816.677823,172.10.0.2:57708,7,141,63,63
1622720816.695385,172.10.0.2:57708,7,141,63,63
1622720816.712586,172.10.0.2:57708,7,141,63,63
1622720816.730180,172.10.0.2:57708,7,141,63,63
1622720816.747713,172.10.0.2:57708,7,141,63,63
1622720816.764989,172.10.0.2:57708,7,141,63,63
1622720816.782918,172.10.0.2:57708,7,141,63,63
1622720816.800638,172.10.0.2:57708,7,141,63,63
1622720816.818216,172.10.0.2:57708,7,141,63,63
1622720816.835958,172.10.0.2:57708,7,141,63,63
1622720816.854251,172.10.0.2:57708,6,141,63,63
1622720816.871963,172.10.0.2:57708,6,141,63,63
1622720816.889539,172.10.0.2:57708,6,141,63,63
1622720816.907617,172.10.0.2:57708,6,141,63,63
1622720816.925601,172.10.0.2:57708,6,141,63,63
1622720816.943740,172.10.0.2:57708,6,141,63,63
1622720816.962082,172.10.0.2:57708,6,141,63,63
1622720816.980414,172.10.0.2:57708,6,141,63,63
1622720817.000101,172.10.0.2:57708,4,141,63,63
1622720817.029283,172.10.0.2:57708,4,141,63,63
1622720817.052077,172.10.0.2:57708,4,141,63,63
1622720817.072114,172.10.0.2:57708,4,141,63,63
1622720817.092243,172.10.0.2:57708,4,141,63,63
1622720817.113101,172.10.0.2:57708,4,141,63,63
1622720817.133499,172.10.0.2:57708,2,141,63,63
1622720817.153556,172.10.0.2:57708,2,141,63,63
1622720817.174830,172.10.0.2:57708,2,141,63,63
1622720817.195865,172.10.0.2:57708,0,141,63,63
1622720817.215987,172.10.0.2:57708,0,141,63,63
1622720817.236365,172.10.0.2:57708,0,141,63,63
1622720817.256944,172.10.0.2:57708,0,141,64,63
1622720817.278549,172.10.0.2:57708,0,141,64,63
1622720817.299035,172.10.0.2:57708,0,141,64,63
1622720817.319729,172.10.0.2:57708,0,141,64,63
1622720817.341182,172.10.0.2:57708,0,141,65,63
1622720817.362125,172.10.0.2:57708,0,141,65,63
1622720817.383031,172.10.0.2:57708,0,141,65,63
1622720817.403860,172.10.0.2:57708,0,141,66,63
1622720817.424537,172.10.0.2:57708,0,141,66,63
1622720817.445696,172.10.0.2:57708,0,141,66,63
1622720817.466899,172.10.0.2:57708,0,141,66,63
1622720817.487836,172.10.0.2:57708,0,141,66,63
1622720817.509274,172.10.0.2:57708,0,141,67,63
1622720817.530557,172.10.0.2:57708,0,141,67,63
1622720817.551659,172.10.0.2:57708,0,141,67,63
1622720817.572110,172.10.0.2:57708,0,141,68,63
1622720817.592679,172.10.0.2:57708,0,141,68,63
1622720817.613099,172.10.0.2:57708,0,141,68,63
1622720817.633353,172.10.0.2:57708,0,141,68,63
1622720817.654268,172.10.0.2:57708,0,141,68,63
1622720817.676432,172.10.0.2:57708,0,141,68,63
1622720817.697176,172.10.0.2:57708,0,141,68,63
1622720817.717657,172.10.0.2:57708,0,141,68,63
1622720817.738377,172.10.0.2:57708,0,141,69,63
1622720817.758746,172.10.0.2:57708,0,141,69,63
1622720817.779307,172.10.0.2:57708,0,141,69,63
1622720817.799754,172.10.0.2:57708,0,141,69,63
1622720817.820204,172.10.0.2:57708,0,141,69,63
1622720817.840935,172.10.0.2:57708,0,141,70,63
1622720817.862556,172.10.0.2:57708,0,141,70,63
1622720817.883205,172.10.0.2:57708,0,141,70,63
1622720817.903889,172.10.0.2:57708,0,141,70,63
1622720817.924727,172.10.0.2:57708,0,141,70,63
1622720817.945075,172.10.0.2:57708,0,141,70,63
1622720817.965690,172.10.0.2:57708,0,141,70,63
1622720817.986897,172.10.0.2:57708,0,141,71,63
1622720818.007493,172.10.0.2:57708,0,141,71,63
1622720818.028377,172.10.0.2:57708,0,141,71,63
1622720818.049016,172.10.0.2:57708,0,141,71,63
1622720818.068911,172.10.0.2:57708,0,141,71,63
1622720818.089552,172.10.0.2:57708,0,141,71,63
1622720818.109651,172.10.0.2:57708,0,141,72,63
1622720818.130480,172.10.0.2:57708,0,141,72,63
1622720818.150594,172.10.0.2:57708,0,141,72,63
1622720818.171284,172.10.0.2:57708,0,141,72,63
1622720818.191092,172.10.0.2:57708,0,141,72,63
1622720818.211194,172.10.0.2:57708,0,141,72,63
1622720818.231095,172.10.0.2:57708,0,141,72,63
1622720818.251677,172.10.0.2:57708,0,141,72,63
1622720818.271835,172.10.0.2:57708,0,141,72,63
1622720818.291444,172.10.0.2:57708,0,141,72,63
1622720818.311169,172.10.0.2:57708,0,141,72,63
1622720818.331243,172.10.0.2:57708,0,141,72,63
1622720818.351369,172.10.0.2:57708,0,141,72,63
1622720818.371240,172.10.0.2:57708,0,141,72,63
1622720818.391311,172.10.0.2:57708,0,141,72,63
1622720818.411268,172.10.0.2:57708,0,141,72,63
1622720818.430928,172.10.0.2:57708,0,141,72,63
1622720818.450973,172.10.0.2:57708,0,141,72,63
1622720818.470785,172.10.0.2:57708,0,141,72,63
1622720818.490964,172.10.0.2:57708,0,141,72,63
1622720818.511072,172.10.0.2:57708,0,141,72,63
1622720818.531290,172.10.0.2:57708,0,141,72,63
1622720818.551617,172.10.0.2:57708,0,141,72,63
1622720818.571877,172.10.0.2:57708,0,141,72,63
1622720818.592464,172.10.0.2:57708,0,141,72,63
1622720818.613661,172.10.0.2:57708,0,141,72,63
1622720818.635217,172.10.0.2:57708,0,141,72,63
1622720818.656638,172.10.0.2:57708,0,141,72,63
1622720818.678271,172.10.0.2:57708,0,141,72,63
1622720818.699293,172.10.0.2:57708,0,141,72,63
1622720818.720246,172.10.0.2:57708,0,141,72,63
1622720818.741583,172.10.0.2:57708,0,141,72,63
1622720818.762702,172.10.0.2:57708,0,141,72,63
1622720818.783902,172.10.0.2:57708,0,141,72,63
1622720818.804916,172.10.0.2:57708,0,141,72,63
1622720818.826412,172.10.0.2:57708,1,142,71,57
1622720818.847305,172.10.0.2:57708,1,142,71,57
1622720818.868222,172.10.0.2:57708,1,142,70,57
1622720818.889476,172.10.0.2:57708,1,142,70,57
1622720818.910477,172.10.0.2:57708,1,142,69,57
1622720818.931496,172.10.0.2:57708,1,142,69,57
1622720818.952590,172.10.0.2:57708,1,142,69,57
1622720818.973576,172.10.0.2:57708,3,144,67,57
1622720818.994000,172.10.0.2:57708,3,144,66,57
1622720819.014011,172.10.0.2:57708,3,144,66,57
1622720819.033934,172.10.0.2:57708,3,144,65,57
1622720819.053833,172.10.0.2:57708,3,144,65,57
1622720819.074391,172.10.0.2:57708,3,144,65,57
1622720819.094317,172.10.0.2:57708,3,144,64,57
1622720819.114241,172.10.0.2:57708,3,144,64,57
1622720819.135416,172.10.0.2:57708,3,144,64,57
1622720819.155320,172.10.0.2:57708,3,144,63,57
1622720819.175677,172.10.0.2:57708,3,144,63,57
1622720819.195653,172.10.0.2:57708,3,144,63,57
1622720819.215902,172.10.0.2:57708,3,144,62,57
1622720819.236365,172.10.0.2:57708,3,144,62,57
1622720819.256405,172.10.0.2:57708,3,144,62,57
1622720819.276820,172.10.0.2:57708,3,144,61,57
1622720819.298301,172.10.0.2:57708,3,144,61,57
1622720819.318875,172.10.0.2:57708,3,144,61,57
1622720819.340033,172.10.0.2:57708,3,144,60,57
1622720819.360676,172.10.0.2:57708,3,144,60,57
1622720819.381471,172.10.0.2:57708,3,144,59,57
1622720819.401877,172.10.0.2:57708,3,144,59,57
1622720819.422379,172.10.0.2:57708,3,144,57,57
1622720819.442831,172.10.0.2:57708,3,144,57,57
1622720819.463198,172.10.0.2:57708,3,144,57,57
1622720819.483526,172.10.0.2:57708,3,144,57,57
1622720819.504622,172.10.0.2:57708,3,144,57,57
1622720819.524986,172.10.0.2:57708,3,144,57,57
1622720819.545531,172.10.0.2:57708,3,144,57,57
1622720819.566543,172.10.0.2:57708,3,144,57,57
1622720819.587081,172.10.0.2:57708,3,144,57,57
1622720819.607742,172.10.0.2:57708,3,144,57,57
1622720819.628237,172.10.0.2:57708,3,144,57,57
1622720819.648667,172.10.0.2:57708,2,144,57,57
1622720819.669020,172.10.0.2:57708,2,144,57,57
1622720819.690075,172.10.0.2:57708,2,144,57,57
1622720819.710699,172.10.0.2:57708,2,144,57,57
1622720819.731234,172.10.0.2:57708,2,144,57,57
1622720819.752167,172.10.0.2:57708,2,144,57,57
1622720819.773183,172.10.0.2:57708,0,144,57,57
1622720819.793475,172.10.0.2:57708,0,144,57,57
1622720819.813474,172.10.0.2:57708,0,144,57,57
1622720819.833333,172.10.0.2:57708,0,144,57,57
1622720819.855009,172.10.0.2:57708,0,144,57,57
1622720819.875321,172.10.0.2:57708,0,144,57,57
1622720819.895469,172.10.0.2:57708,0,144,57,57
1622720819.915492,172.10.0.2:57708,0,144,57,57
1622720819.935294,172.10.0.2:57708,0,144,57,57
1622720819.955332,172.10.0.2:57708,0,144,57,57
1622720819.975251,172.10.0.2:57708,0,144,57,57
1622720819.995522,172.10.0.2:57708,0,144,57,57
1622720820.015567,172.10.0.2:57708,0,144,57,57
1622720820.035760,172.10.0.2:57708,0,144,57,57
1622720820.055777,172.10.0.2:57708,0,144,57,57
1622720820.075386,172.10.0.2:57708,0,144,57,57
1622720820.097558,172.10.0.2:57708,0,144,57,57
1622720820.117658,172.10.0.2:57708,0,144,57,57
1622720820.138018,172.10.0.2:57708,0,144,57,57
1622720820.158496,172.10.0.2:57708,0,144,57,57
1622720820.178938,172.10.0.2:57708,0,144,57,57
1622720820.199416,172.10.0.2:57708,0,144,57,57
1622720820.219863,172.10.0.2:57708,0,144,57,57
1622720820.242097,172.10.0.2:57708,0,144,57,57
1622720820.262854,172.10.0.2:57708,0,144,57,57
1622720820.283365,172.10.0.2:57708,0,144,57,57
1622720820.304097,172.10.0.2:57708,0,144,57,57
1622720820.324421,172.10.0.2:57708,0,144,57,57
1622720820.345007,172.10.0.2:57708,0,144,57,57
1622720820.365817,172.10.0.2:57708,0,144,57,57
1622720820.386578,172.10.0.2:57708,0,144,57,57
1622720820.407101,172.10.0.2:57708,0,144,57,57
1622720820.427214,172.10.0.2:57708,0,144,57,57
1622720820.447317,172.10.0.2:57708,0,144,57,57
1622720820.467350,172.10.0.2:57708,0,144,57,57
1622720820.488009,172.10.0.2:57708,0,144,57,57
1622720820.507982,172.10.0.2:57708,0,144,57,57
1622720820.527989,172.10.0.2:57708,0,144,57,57
1622720820.547916,172.10.0.2:57708,0,144,57,57
1622720820.568364,172.10.0.2:57708,0,144,57,57
1622720820.588826,172.10.0.2:57708,0,144,57,57
1622720820.609415,172.10.0.2:57708,0,144,57,57
1622720820.629748,172.10.0.2:57708,0,144,57,57
1622720820.650226,172.10.0.2:57708,0,144,57,57
1622720820.671054,172.10.0.2:57708,0,144,57,57
1622720820.691303,172.10.0.2:57708,0,144,57,57
1622720820.711173,172.10.0.2:57708,0,144,57,57
1622720820.731021,172.10.0.2:57708,0,144,57,57
1622720820.751363,172.10.0.2:57708,0,144,57,57
1622720820.771199,172.10.0.2:57708,0,144,57,57
1622720820.791162,172.10.0.2:57708,0,144,57,57
1622720820.810924,172.10.0.2:57708,0,144,57,57
1622720820.830855,172.10.0.2:57708,0,144,57,57
1622720820.850875,172.10.0.2:57708,0,144,57,57
1622720820.871407,172.10.0.2:57708,0,144,57,57
1622720820.891118,172.10.0.2:57708,0,144,57,57
1622720820.910937,172.10.0.2:57708,0,144,57,57
1622720820.931051,172.10.0.2:57708,0,144,58,57
1622720820.950879,172.10.0.2:57708,0,144,58,57
1622720820.970950,172.10.0.2:57708,0,144,58,57
1622720820.991213,172.10.0.2:57708,0,144,58,57
1622720821.011052,172.10.0.2:57708,0,144,58,57
1622720821.030937,172.10.0.2:57708,0,144,58,57
1622720821.050684,172.10.0.2:57708,0,144,58,57
1622720821.070711,172.10.0.2:57708,0,144,58,57
1622720821.090783,172.10.0.2:57708,0,144,58,57
1622720821.110453,172.10.0.2:57708,0,144,58,57
1622720821.130346,172.10.0.2:57708,0,144,58,57
1622720821.150735,172.10.0.2:57708,0,144,58,57
1622720821.170678,172.10.0.2:57708,0,144,58,57
1622720821.190539,172.10.0.2:57708,0,144,58,57
1622720821.210642,172.10.0.2:57708,0,144,58,57
1622720821.230694,172.10.0.2:57708,0,144,58,57
1622720821.251024,172.10.0.2:57708,0,144,58,57
1622720821.271140,172.10.0.2:57708,0,144,58,57
1622720821.290897,172.10.0.2:57708,0,144,58,57
1622720821.310892,172.10.0.2:57708,0,144,58,57
1622720821.330789,172.10.0.2:57708,0,144,58,57
1622720821.350797,172.10.0.2:57708,0,144,58,57
1622720821.370503,172.10.0.2:57708,0,144,58,57
1622720821.390685,172.10.0.2:57708,0,144,58,57
1622720821.410832,172.10.0.2:57708,0,144,58,57
1622720821.430715,172.10.0.2:57708,0,144,58,57
1622720821.450964,172.10.0.2:57708,0,144,58,57
1622720821.470581,172.10.0.2:57708,0,144,58,57
1622720821.490664,172.10.0.2:57708,0,144,58,57
1622720821.510574,172.10.0.2:57708,0,144,58,57
1622720821.530316,172.10.0.2:57708,0,144,58,57
1622720821.550150,172.10.0.2:57708,0,144,58,57
1622720821.570942,172.10.0.2:57708,0,144,58,57
1622720821.590989,172.10.0.2:57708,0,144,58,57
1622720821.610884,172.10.0.2:57708,0,144,58,57
1622720821.631292,172.10.0.2:57708,0,144,58,57
1622720821.651576,172.10.0.2:57708,0,144,58,57
1622720821.671654,172.10.0.2:57708,0,144,58,57
1622720821.691422,172.10.0.2:57708,0,144,58,57
1622720821.711530,172.10.0.2:57708,0,144,58,57
1622720821.731398,172.10.0.2:57708,0,144,58,57
1622720821.751531,172.10.0.2:57708,0,144,58,57
1622720821.771569,172.10.0.2:57708,0,144,58,57
