Timestamp,Sender,retr,retr.total,cwnd,ssthresh
1622716196.420233,172.10.0.2:56302,0,71,36,35
1622716196.437808,172.10.0.2:56302,0,71,36,35
1622716196.456034,172.10.0.2:56302,0,71,36,35
1622716196.474058,172.10.0.2:56302,0,71,36,35
1622716196.492012,172.10.0.2:56302,0,71,36,35
1622716196.509786,172.10.0.2:56302,0,71,36,35
1622716196.527788,172.10.0.2:56302,0,71,36,35
1622716196.546030,172.10.0.2:56302,0,71,36,35
1622716196.564111,172.10.0.2:56302,0,71,36,35
1622716196.582171,172.10.0.2:56302,0,71,36,35
1622716196.599952,172.10.0.2:56302,0,71,36,35
1622716196.617821,172.10.0.2:56302,0,71,36,35
1622716196.636487,172.10.0.2:56302,0,71,36,35
1622716196.654412,172.10.0.2:56302,0,71,36,35
1622716196.672015,172.10.0.2:56302,0,71,37,35
1622716196.689632,172.10.0.2:56302,0,71,37,35
1622716196.707117,172.10.0.2:56302,0,71,37,35
1622716196.726187,172.10.0.2:56302,0,71,37,35
1622716196.748237,172.10.0.2:56302,0,71,37,35
1622716196.768297,172.10.0.2:56302,0,71,37,35
1622716196.786729,172.10.0.2:56302,0,71,37,35
1622716196.804861,172.10.0.2:56302,0,71,37,35
1622716196.823085,172.10.0.2:56302,0,71,37,35
1622716196.840448,172.10.0.2:56302,0,71,37,35
1622716196.858480,172.10.0.2:56302,0,71,37,35
1622716196.876056,172.10.0.2:56302,0,71,37,35
1622716196.893450,172.10.0.2:56302,0,71,37,35
1622716196.911524,172.10.0.2:56302,0,71,37,35
1622716196.929761,172.10.0.2:56302,0,71,37,35
1622716196.947057,172.10.0.2:56302,0,71,37,35
1622716196.965176,172.10.0.2:56302,0,71,37,35
1622716196.982858,172.10.0.2:56302,0,71,37,35
1622716197.000240,172.10.0.2:56302,0,71,37,35
1622716197.018139,172.10.0.2:56302,0,71,37,35
1622716197.035409,172.10.0.2:56302,0,71,37,35
1622716197.052860,172.10.0.2:56302,0,71,37,35
1622716197.071343,172.10.0.2:56302,0,71,37,35
1622716197.089632,172.10.0.2:56302,0,71,37,35
1622716197.111186,172.10.0.2:56302,0,71,37,35
1622716197.133785,172.10.0.2:56302,0,71,38,35
1622716197.154087,172.10.0.2:56302,0,71,38,35
1622716197.173346,172.10.0.2:56302,0,71,38,35
1622716197.193179,172.10.0.2:56302,0,71,38,35
1622716197.213063,172.10.0.2:56302,0,71,38,35
1622716197.231368,172.10.0.2:56302,0,71,38,35
1622716197.250814,172.10.0.2:56302,0,71,38,35
1622716197.270042,172.10.0.2:56302,0,71,38,35
1622716197.288379,172.10.0.2:56302,0,71,38,35
1622716197.306100,172.10.0.2:56302,0,71,38,35
1622716197.323880,172.10.0.2:56302,0,71,38,35
1622716197.342762,172.10.0.2:56302,0,71,38,35
1622716197.360654,172.10.0.2:56302,0,71,38,35
1622716197.378177,172.10.0.2:56302,0,71,38,35
1622716197.395693,172.10.0.2:56302,0,71,38,35
1622716197.414335,172.10.0.2:56302,0,71,38,35
1622716197.432060,172.10.0.2:56302,0,71,38,35
1622716197.449610,172.10.0.2:56302,0,71,38,35
1622716197.467417,172.10.0.2:56302,0,71,38,35
1622716197.485546,172.10.0.2:56302,0,71,38,35
1622716197.503486,172.10.0.2:56302,0,71,38,35
1622716197.521419,172.10.0.2:56302,0,71,38,35
1622716197.538749,172.10.0.2:56302,0,71,38,35
1622716197.556489,172.10.0.2:56302,0,71,38,35
1622716197.574067,172.10.0.2:56302,0,71,38,35
1622716197.591772,172.10.0.2:56302,0,71,39,35
1622716197.609339,172.10.0.2:56302,0,71,39,35
1622716197.627195,172.10.0.2:56302,0,71,39,35
1622716197.644678,172.10.0.2:56302,0,71,39,35
1622716197.662407,172.10.0.2:56302,0,71,39,35
1622716197.680085,172.10.0.2:56302,0,71,39,35
1622716197.697816,172.10.0.2:56302,0,71,39,35
1622716197.714928,172.10.0.2:56302,0,71,39,35
1622716197.732586,172.10.0.2:56302,0,71,39,35
1622716197.751420,172.10.0.2:56302,0,71,39,35
1622716197.769161,172.10.0.2:56302,0,71,39,35
1622716197.787698,172.10.0.2:56302,0,71,39,35
1622716197.805290,172.10.0.2:56302,0,71,39,35
1622716197.822791,172.10.0.2:56302,0,71,39,35
1622716197.840353,172.10.0.2:56302,0,71,39,35
1622716197.858224,172.10.0.2:56302,0,71,39,35
1622716197.876510,172.10.0.2:56302,0,71,39,35
1622716197.894512,172.10.0.2:56302,0,71,39,35
1622716197.912251,172.10.0.2:56302,0,71,39,35
1622716197.929821,172.10.0.2:56302,0,71,39,35
1622716197.947624,172.10.0.2:56302,0,71,39,35
1622716197.965052,172.10.0.2:56302,0,71,39,35
1622716197.982638,172.10.0.2:56302,0,71,39,35
1622716198.000684,172.10.0.2:56302,0,71,39,35
1622716198.018211,172.10.0.2:56302,0,71,39,35
1622716198.035505,172.10.0.2:56302,0,71,39,35
1622716198.053057,172.10.0.2:56302,0,71,40,35
1622716198.071151,172.10.0.2:56302,0,71,40,35
1622716198.088915,172.10.0.2:56302,0,71,40,35
1622716198.109535,172.10.0.2:56302,0,71,40,35
1622716198.128058,172.10.0.2:56302,0,71,40,35
